%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -376.0899493941106, -75.3702038070187, -62.64332425780594, -62.87893795501441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.680030736814948E9, 0.0, 2023-03-28 13:12:16.814
1.0, -376.22084589255974, -78.1115504745394, -67.75576749723405, -63.85131194349378, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368282228E9, 0.0, 2023-03-28 13:12:16.828
1.0, -369.4254476730712, -78.61643696855754, -58.30130040924996, -58.510734806768596, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368282228E9, 0.0, 2023-03-28 13:12:16.828
2.0, -377.18574008112773, -78.72489406727254, -63.024794053286314, -62.994874853640795, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368603053E9, 0.0, 2023-03-28 13:12:16.860
2.0, -376.7930505857803, -78.12277017440647, -67.7370679974556, -68.33171209041029, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368603053E9, 0.0, 2023-03-28 13:12:16.860
3.0, -379.7587912506424, -79.61499025672674, -57.19429002236575, -60.133851387538016, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368610787E9, 0.0, 2023-03-28 13:12:16.861
3.0, -380.00188474776223, -73.13000373356044, -60.25352818612009, -62.538607059046626, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368610787E9, 0.0, 2023-03-28 13:12:16.861
4.0, -380.69750613952056, -75.93866860028356, -66.59265861101449, -60.68735658098012, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368743916E9, 0.0, 2023-03-28 13:12:16.874
4.0, -376.95760618383065, -86.16729497909546, -62.27681406214833, -60.612558581866324, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800307368743916E9, 0.0, 2023-03-28 13:12:16.874
5.0, -368.84950307989493, -75.26922650821507, -58.981962201185524, -60.208649386651814, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.680030736875104E9, 0.0, 2023-03-28 13:12:16.875
