%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
77.0, -77.8534973775968, -87.17332806717604, 14.151781432330608, 5.942701029591262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776262164E9, 0.0, 2022-10-06 11:46:17.626
77.0, -27.918353169225156, -26.463532086461782, 19.006171574816108, 5.946440929546952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776262164E9, 0.0, 2022-10-06 11:46:17.626
0.0, -346.21749849803746, -180.93448990629986, -306.93171941349283, -193.09851451218128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776534135E9, 0.0, 2022-10-06 11:46:17.653
1.0, -383.26868735905737, -221.082315930631, -305.0056709363125, -193.5697419065982, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776668391E9, 0.0, 2022-10-06 11:46:17.666
1.0, -339.2799840802327, -177.42272384790704, -292.1142357890494, -176.6728739067912, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776668391E9, 0.0, 2022-10-06 11:46:17.666
2.0, -309.5963981319219, -142.7949901581742, -280.8608768223785, -164.42470155190676, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777683526E9, 0.0, 2022-10-06 11:46:17.683
2.0, -360.9826235231012, -201.79565185913816, -294.350695962552, -176.62425520736724, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777683526E9, 0.0, 2022-10-06 11:46:17.683
3.0, -367.0936200506985, -196.49995352188125, -289.3429699218832, -175.4162675216794, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776842756E9, 0.0, 2022-10-06 11:46:17.684
3.0, -331.39627497363836, -162.45564422523603, -310.40982637228444, -191.6885722288862, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747776842756E9, 0.0, 2022-10-06 11:46:17.684
4.0, -362.60200020391494, -198.16794890211895, -311.5056170593016, -182.43979963846505, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777696697E9, 0.0, 2022-10-06 11:46:17.696
4.0, -375.7365288482979, -214.08870301349089, -299.44443970220163, -169.0098188975826, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777696697E9, 0.0, 2022-10-06 11:46:17.696
5.0, -316.4516347507015, -146.41521331528202, -280.516806026455, -160.9652940928936, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777712328E9, 0.0, 2022-10-06 11:46:17.712
5.0, -315.95422805659473, -157.0215695896186, -282.77196569973603, -157.34507093578577, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777712328E9, 0.0, 2022-10-06 11:46:17.712
6.0, -367.5124888457358, -208.7518657767214, -291.5270714960061, -156.31659844797105, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747777131767E9, 0.0, 2022-10-06 11:46:17.713
6.0, -329.06257740128785, -166.8388069733046, -295.2407921520062, -170.4833394801244, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747777131767E9, 0.0, 2022-10-06 11:46:17.713
7.0, -338.8311960855499, -179.2851940258406, -306.95789871318266, -184.6762598119676, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747777267659E9, 0.0, 2022-10-06 11:46:17.726
7.0, -345.8771676020697, -189.71577500225976, -280.64770252490416, -143.79915329627693, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650747777267659E9, 0.0, 2022-10-06 11:46:17.726
8.0, -363.63047269172966, -194.34951104735956, -300.2784373923205, -162.80906477104872, 0.04800000227987766, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074777758854E9, 0.0, 2022-10-06 11:46:17.758
