%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -693.9702259278856, -235.46036131028086, -83.7438398078084, -154.45038837008178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629180696E9, 0.0, 2023-03-15 09:51:02.918
1.0, -700.2308184537105, -229.80189267732203, -80.13109645061195, -148.16735644452274, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629196873E9, 0.0, 2023-03-15 09:51:02.919
1.0, -692.3957280465402, -233.49317393358797, -78.56781826913357, -143.60841839853674, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629196873E9, 0.0, 2023-03-15 09:51:02.919
2.0, -697.8896410814486, -238.31390497647226, -82.53959202207625, -145.74764117319137, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629204917E9, 0.0, 2023-03-15 09:51:02.920
2.0, -694.6920266193338, -236.0400458034128, -79.84312415402383, -146.43204286508262, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629204917E9, 0.0, 2023-03-15 09:51:02.920
3.0, -691.8684021527879, -237.95113468077034, -75.31784520763904, -142.57620601076633, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.678895462930202E9, 0.0, 2023-03-15 09:51:02.930
3.0, -696.6592139960267, -245.07190419640392, -79.08766436297446, -147.3258789544925, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.678895462930202E9, 0.0, 2023-03-15 09:51:02.930
4.0, -696.8836079933681, -245.3710961928591, -79.70100795570761, -149.04997283406556, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629309103E9, 0.0, 2023-03-15 09:51:02.930
4.0, -696.7190523953177, -241.42176183965057, -76.37623689509928, -147.4792148526758, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629309103E9, 0.0, 2023-03-15 09:51:02.930
5.0, -707.3852470689453, -234.34587112348527, -79.91044235322624, -149.49128102883697, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629455037E9, 0.0, 2023-03-15 09:51:02.945
5.0, -689.3215302829631, -232.08323165029287, -76.05086559895426, -139.67030374519527, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629455037E9, 0.0, 2023-03-15 09:51:02.945
6.0, -695.4437465104274, -237.01241979189217, -75.37768360693008, -141.6187916221097, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629468932E9, 0.0, 2023-03-15 09:51:02.946
6.0, -703.1068015196361, -232.28518624790013, -73.9228625241667, -145.9982144702226, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629468932E9, 0.0, 2023-03-15 09:51:02.946
7.0, -697.9532193806954, -231.24549406021833, -71.64152355119586, -140.5529201347381, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629592483E9, 0.0, 2023-03-15 09:51:02.959
7.0, -694.4377134223469, -237.03111929167062, -79.91792215313762, -143.60093859862536, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629592483E9, 0.0, 2023-03-15 09:51:02.959
8.0, -704.651380201336, -236.8852631933987, -80.7033011438325, -145.50454767607152, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.678895462974918E9, 0.0, 2023-03-15 09:51:02.974
8.0, -709.367394045461, -244.6754748011008, -77.84601757768542, -146.2899266667664, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.678895462974918E9, 0.0, 2023-03-15 09:51:02.974
9.0, -703.6490870132111, -230.77052676584572, -72.62137733958662, -143.48874159995466, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629756482E9, 0.0, 2023-03-15 09:51:02.975
9.0, -709.2626768467017, -242.05380493216217, -79.4840937582776, -146.52928026393056, -0.04800000227987766, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6788954629756482E9, 0.0, 2023-03-15 09:51:02.975
10.0, -703.7687638117932, -241.60501693747938, -80.84167744219303, -147.72604824975133, -0.04800000227987766, 1.0240000486373901, 0.3040000144392252, 0.0, 0.0, 0.0, 0.0, 0.0, 1.678895462989277E9, 0.0, 2023-03-15 09:51:02.989
