%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -422.1879562479444, -497.9545894502662, -176.40921095991507, -224.95685228472576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561151949952E9, 0.0, 2022-09-15 10:35:15.194
1.0, -390.473604623694, -476.66333900252357, -133.9015080635436, -174.8010539789684, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152084596E9, 0.0, 2022-09-15 10:35:15.208
1.0, -362.6674484531395, -472.41481265285984, -104.32263931399211, -121.12600981490687, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152084596E9, 0.0, 2022-09-15 10:35:15.208
2.0, -414.57351993815973, -495.24316198239103, -168.27118865633383, -207.86924938717857, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152251704E9, 0.0, 2022-09-15 10:35:15.225
2.0, -419.5214075795375, -484.7228234070353, -158.4651709725149, -209.21187347127125, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152251704E9, 0.0, 2022-09-15 10:35:15.225
3.0, -370.85034955618903, -468.40190000040457, -101.75706794438884, -125.62136956164613, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152259195E9, 0.0, 2022-09-15 10:35:15.225
3.0, -395.5823079631664, -487.8493797699921, -134.2343591596, -165.15959189319983, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152259195E9, 0.0, 2022-09-15 10:35:15.225
4.0, -425.31077271094546, -499.34209233382717, -172.75158880325034, -226.21345866983756, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152382784E9, 0.0, 2022-09-15 10:35:15.238
4.0, -375.84311599703506, -474.69989152578637, -113.16750270919874, -148.09442839538679, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152382784E9, 0.0, 2022-09-15 10:35:15.238
5.0, -381.3033699323423, -485.64283879613504, -120.80063851876184, -144.6462406362407, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.663256115253976E9, 0.0, 2022-09-15 10:35:15.253
5.0, -426.6945356945507, -499.94795612664893, -180.3959443126805, -223.1990993055515, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.663256115253976E9, 0.0, 2022-09-15 10:35:15.253
6.0, -394.344401077833, -481.3269942472689, -140.99983817944303, -175.1713040745817, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152548544E9, 0.0, 2022-09-15 10:35:15.254
6.0, -360.9358747736551, -476.0649550096132, -103.6980760213919, -123.16425529075786, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152548544E9, 0.0, 2022-09-15 10:35:15.254
7.0, -417.71503590093926, -495.0673866844736, -166.19180428097025, -205.46823361562565, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152682948E9, 0.0, 2022-09-15 10:35:15.268
7.0, -419.4092105808668, -488.93021085718647, -167.69898396311328, -209.1894340715371, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152682948E9, 0.0, 2022-09-15 10:35:15.268
8.0, -362.0129659608938, -476.0873944093473, -102.84911873145029, -122.31903790077195, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152839825E9, 0.0, 2022-09-15 10:35:15.283
8.0, -395.2419770671986, -492.2512420178391, -138.58012290811166, -173.70152339199558, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152839825E9, 0.0, 2022-09-15 10:35:15.283
9.0, -428.56074577244, -503.93842937937006, -180.9943283055909, -227.0474563599564, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152847092E9, 0.0, 2022-09-15 10:35:15.284
9.0, -377.48119217762724, -482.77807543007657, -115.8527508773841, -146.8266023104079, 0.0, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152847092E9, 0.0, 2022-09-15 10:35:15.284
10.0, -375.72717909840867, -491.4471635273658, -122.06098480382934, -144.99779123207554, 0.0, 1.0400000493973494, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152983084E9, 0.0, 2022-09-15 10:35:15.298
10.0, -420.0300339735113, -507.1061246418394, -180.15659071551636, -227.679499452468, 0.0, 1.0400000493973494, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561152983084E9, 0.0, 2022-09-15 10:35:15.298
11.0, -390.050995928701, -490.27283494127914, -136.10804903740063, -175.78464766731486, 0.0, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153140516E9, 0.0, 2022-09-15 10:35:15.314
11.0, -356.365717027802, -481.26341594802216, -104.3637782135047, -121.30926491273567, 0.0, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153140516E9, 0.0, 2022-09-15 10:35:15.314
12.0, -416.01712132105604, -504.60413157148287, -165.03991509461775, -208.54617127915844, 0.03200000151991844, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153146758E9, 0.0, 2022-09-15 10:35:15.314
12.0, -417.5542202028446, -503.9571288791485, -169.3968985429965, -213.9353671153076, 0.03200000151991844, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153146758E9, 0.0, 2022-09-15 10:35:15.314
13.0, -360.9283949737437, -482.19839093694463, -106.1065715928562, -132.43172738095745, 0.03200000151991844, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153282757E9, 0.0, 2022-09-15 10:35:15.328
13.0, -390.48108442360535, -501.13350441260263, -139.31688319938257, -175.541554170195, 0.03200000151991844, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153282757E9, 0.0, 2022-09-15 10:35:15.328
14.0, -424.5141740203835, -500.2508880230598, -170.18975733360276, -223.6404075003229, 0.03200000151991844, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153439271E9, 0.0, 2022-09-15 10:35:15.343
14.0, -361.9680871614255, -473.9481716346927, -110.98340113507584, -145.91780662117526, 0.03200000151991844, 0.5120000243186951, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6632561153439271E9, 0.0, 2022-09-15 10:35:15.343
