%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -175.92863381560892, -554.9113958254457, -215.46311624720693, -147.25295090535656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485064285E9, 0.0, 2022-10-06 12:50:48.506
1.0, -164.75755264796317, -536.1744970474392, -183.88714092131704, -130.2251864071004, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485367477E9, 0.0, 2022-10-06 12:50:48.536
1.0, -230.80418586544693, -576.6514342678711, -232.80877224169672, -137.18888012459502, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485367477E9, 0.0, 2022-10-06 12:50:48.536
2.0, -173.12744874879718, -547.4390757139772, -200.8700266201049, -132.74213907727972, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485381665E9, 0.0, 2022-10-06 12:50:48.538
2.0, -144.46111558843404, -524.1058398904279, -172.46548645664006, -127.61847613798454, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485381665E9, 0.0, 2022-10-06 12:50:48.538
3.0, -226.20784881990403, -577.1189217623323, -237.7790992828086, -147.3427085042931, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485388916E9, 0.0, 2022-10-06 12:50:48.538
3.0, -213.5071485703811, -567.6457551745698, -254.4216540856287, -149.8634010744281, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485388916E9, 0.0, 2022-10-06 12:50:48.538
4.0, -126.49463620129973, -487.51091882400215, -172.17377426009625, -82.37690637400374, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485499163E9, 0.0, 2022-10-06 12:50:48.549
4.0, -189.48577115498483, -530.2617152174935, -215.04798735212535, -109.96614834712818, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485499163E9, 0.0, 2022-10-06 12:50:48.549
5.0, -181.35896855127066, -520.474397033453, -213.70162336807698, -74.06684867246076, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665078648581704E9, 0.0, 2022-10-06 12:50:48.581
5.0, -161.01017289236188, -531.3388064047322, -225.78898002486676, -130.17282780772075, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665078648581704E9, 0.0, 2022-10-06 12:50:48.581
6.0, -181.3814079510048, -532.5056551909074, -226.20036901999265, -114.22589439665899, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485824437E9, 0.0, 2022-10-06 12:50:48.582
6.0, -227.99178109876812, -563.2812919262797, -263.0084643838927, -137.43945342162624, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650786485824437E9, 0.0, 2022-10-06 12:50:48.582
7.0, -169.39876849297434, -520.4519576337188, -228.11519779730588, -102.68082323344424, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665078648583197E9, 0.0, 2022-10-06 12:50:48.583
7.0, -111.59113487787545, -464.20012240018696, -172.83947645220906, -53.24308571917936, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665078648583197E9, 0.0, 2022-10-06 12:50:48.583
8.0, -187.58216207753867, -515.818221588619, -231.5185067569837, -77.78430922841653, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665078648583946E9, 0.0, 2022-10-06 12:50:48.583
8.0, -203.71609048638493, -542.098498577252, -251.8598226159811, -104.98834150610492, -0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665078648583946E9, 0.0, 2022-10-06 12:50:48.583
