%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -2430.7685456504114, -1434.6835914519615, -867.9746812162921, 34.48374754143879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239285395E9, 0.0, 2022-10-06 11:35:23.928
1.0, -2436.3783955839463, -1447.8106402964331, -879.493573079817, 16.913697549607605, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239418926E9, 0.0, 2022-10-06 11:35:23.941
1.0, -2430.8994421488605, -1444.8075006320141, -894.1091021066532, 23.61185837024823, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239418926E9, 0.0, 2022-10-06 11:35:23.941
2.0, -2434.762758803088, -1446.4268773128279, -886.3039308991283, 17.770134639460593, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239586124E9, 0.0, 2022-10-06 11:35:23.958
2.0, -2425.3793498142622, -1430.023676107172, -862.0581594863907, 23.297706773970276, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239586124E9, 0.0, 2022-10-06 11:35:23.958
3.0, -2425.914155507926, -1425.3525410625152, -884.6583749186248, 21.14352439949289, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239593923E9, 0.0, 2022-10-06 11:35:23.959
3.0, -2435.379842295777, -1434.713510651607, -895.3806680915877, 26.600038434844464, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239593923E9, 0.0, 2022-10-06 11:35:23.959
4.0, -2426.0413121064194, -1426.029462954495, -865.5549659449607, 34.996113835368305, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239718523E9, 0.0, 2022-10-06 11:35:23.971
4.0, -2432.137349034194, -1437.3164810207672, -882.3471167460084, 24.531873759347945, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741239718523E9, 0.0, 2022-10-06 11:35:23.971
5.0, -2417.166529511567, -1426.7737030456774, -883.0614376375452, 47.909988382365555, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240030913E9, 0.0, 2022-10-06 11:35:24.003
5.0, -2408.3702848157845, -1421.8781740036793, -855.0645465692505, 56.1564677846618, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240030913E9, 0.0, 2022-10-06 11:35:24.003
6.0, -2416.09691812424, -1423.8453613803722, -860.2854469073936, 46.698260796722025, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240040128E9, 0.0, 2022-10-06 11:35:24.004
6.0, -2423.8572105322964, -1444.2988742380403, -886.8723956923932, 40.243193473201245, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240040128E9, 0.0, 2022-10-06 11:35:24.004
7.0, -2412.9666218613274, -1434.171225158032, -868.337451511994, 47.68933428497985, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240046191E9, 0.0, 2022-10-06 11:35:24.004
7.0, -2423.9507080311887, -1433.845853861887, -861.8300255890936, 39.880423177499324, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240046191E9, 0.0, 2022-10-06 11:35:24.004
8.0, -2427.7392266863026, -1437.0846072235145, -879.5309720793739, 42.09444395126775, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240174427E9, 0.0, 2022-10-06 11:35:24.017
8.0, -2427.578410988208, -1439.635218993295, -879.7291867770255, 38.238607096951455, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240174427E9, 0.0, 2022-10-06 11:35:24.017
9.0, -2414.9188496381976, -1422.7159115937538, -850.4233307242393, 53.0448710215278, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124018106E9, 0.0, 2022-10-06 11:35:24.018
9.0, -2414.8851905385964, -1419.57813553093, -858.4902949286625, 52.62226232653484, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124018106E9, 0.0, 2022-10-06 11:35:24.018
10.0, -2431.049038147088, -1435.7120639397763, -889.4604064617306, 40.90515576535836, 0.11200000531971455, 1.0240000486373901, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240318737E9, 0.0, 2022-10-06 11:35:24.031
10.0, -2423.0344325420447, -1429.4402517140843, -864.2048620609567, 42.34875714825466, 0.11200000531971455, 1.0240000486373901, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240318737E9, 0.0, 2022-10-06 11:35:24.031
11.0, -2413.344351756852, -1430.2256307047792, -861.6131113916636, 44.645055721048266, 0.11200000531971455, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240478897E9, 0.0, 2022-10-06 11:35:24.047
11.0, -2425.1474760170095, -1448.2182893916033, -896.5736961774528, 40.72190066752955, 0.11200000531971455, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240478897E9, 0.0, 2022-10-06 11:35:24.047
12.0, -2417.6788958054967, -1442.3429065612145, -870.1924418900162, 42.06826465157792, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240484233E9, 0.0, 2022-10-06 11:35:24.048
12.0, -2411.994247872848, -1430.4724641018547, -854.7952737724409, 48.351296577136964, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240484233E9, 0.0, 2022-10-06 11:35:24.048
13.0, -2428.913555272389, -1444.579366734717, -882.810864340514, 40.46758747054264, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240619817E9, 0.0, 2022-10-06 11:35:24.061
13.0, -2416.1006580241956, -1440.7384894802235, -872.7131344601512, 50.87572904722765, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240619817E9, 0.0, 2022-10-06 11:35:24.061
14.0, -2403.164344077464, -1420.8010828164406, -839.1250929581001, 57.38689487008378, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124077411E9, 0.0, 2022-10-06 11:35:24.077
14.0, -2403.7627280703746, -1424.5372428721748, -864.0964049622416, 57.69356666645035, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124077411E9, 0.0, 2022-10-06 11:35:24.077
15.0, -2401.5711466963403, -1416.0289704729803, -864.0964049622416, 73.13935348344967, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240781152E9, 0.0, 2022-10-06 11:35:24.078
15.0, -2392.5018893037923, -1408.9904787563719, -837.3112414795905, 79.93101180298254, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741240781152E9, 0.0, 2022-10-06 11:35:24.078
16.0, -2398.897118228022, -1398.268185583409, -840.7594292387366, 77.84788752766326, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124108121E9, 0.0, 2022-10-06 11:35:24.108
16.0, -2398.3697923342697, -1407.4309404748492, -860.5322803044692, 77.58235463080928, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124108121E9, 0.0, 2022-10-06 11:35:24.108
17.0, -2414.3391651450656, -1427.2449304400943, -862.6004449799657, 53.108449320774525, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66507412410889E9, 0.0, 2022-10-06 11:35:24.108
17.0, -2417.506860407535, -1424.8588742683642, -850.6402449216694, 46.01011920487508, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66507412410889E9, 0.0, 2022-10-06 11:35:24.108
18.0, -2410.8161793868057, -1415.441806179937, -870.1438231905922, 53.73675251333043, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241095593E9, 0.0, 2022-10-06 11:35:24.109
18.0, -2416.418549520429, -1424.0211366782896, -874.1978747425601, 49.076837168540806, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241095593E9, 0.0, 2022-10-06 11:35:24.109
19.0, -2418.168822699692, -1424.451225173194, -847.147178363055, 41.73167365556583, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241217017E9, 0.0, 2022-10-06 11:35:24.121
19.0, -2413.4341093557887, -1421.8258154042996, -864.6648697555065, 42.670388544443995, 0.03200000151991844, 0.5120000243186951, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241217017E9, 0.0, 2022-10-06 11:35:24.121
20.0, -2413.030200160574, -1427.200051640626, -877.5450852029026, 50.318483953829855, 0.03200000151991844, 0.5120000243186951, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241374283E9, 0.0, 2022-10-06 11:35:24.137
20.0, -2418.7933859922923, -1427.6675391350873, -863.1988289728761, 33.54129275260493, 0.03200000151991844, 0.5120000243186951, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241374283E9, 0.0, 2022-10-06 11:35:24.137
21.0, -2414.851531438995, -1421.6575199062936, -857.8619917361066, 42.74518654355779, 0.03200000151991844, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241381676E9, 0.0, 2022-10-06 11:35:24.138
21.0, -2411.0854521836154, -1427.5777815361507, -880.6342425663024, 43.21267403801903, 0.03200000151991844, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241381676E9, 0.0, 2022-10-06 11:35:24.138
22.0, -2407.700842723716, -1425.1281470651738, -869.7436538953334, 37.72624080302194, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241517534E9, 0.0, 2022-10-06 11:35:24.151
22.0, -2409.0359870078973, -1415.4492859798484, -849.6641310332343, 48.16430157935247, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241517534E9, 0.0, 2022-10-06 11:35:24.151
23.0, -2404.92957685655, -1414.173980094958, -869.302345700562, 56.291104183066636, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124167701E9, 0.0, 2022-10-06 11:35:24.167
23.0, -2414.0175337488763, -1416.780690364074, -872.2942656651139, 59.69067324278876, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124167701E9, 0.0, 2022-10-06 11:35:24.167
24.0, -2402.562220184598, -1407.348662675824, -843.8373669022694, 59.615875243674964, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124168258E9, 0.0, 2022-10-06 11:35:24.168
24.0, -2399.9891690150835, -1401.1292090495117, -854.4848620761186, 69.17131963046268, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074124168258E9, 0.0, 2022-10-06 11:35:24.168
25.0, -2408.1683302181773, -1418.1943725473247, -871.8379978705198, 69.35831462824717, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241817214E9, 0.0, 2022-10-06 11:35:24.181
25.0, -2425.6299231112935, -1430.9474313962273, -861.1643233969808, 39.850503977853805, 0.06400000303983688, 0.7680000364780426, 0.04800000227987766, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650741241817214E9, 0.0, 2022-10-06 11:35:24.181
