%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -2363.48774544755, -1395.0500016715378, -843.7438694033772, 86.172904829029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043467985E9, 0.0, 2022-10-06 11:34:03.467
1.0, -2363.6971798450686, -1392.7985818982124, -832.082861341536, 73.569441978354, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740434813712E9, 0.0, 2022-10-06 11:34:03.481
1.0, -2360.518264882732, -1386.9344187676907, -841.7579825269058, 71.33672170480713, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740434813712E9, 0.0, 2022-10-06 11:34:03.481
2.0, -2337.4281225563027, -1373.3211829289794, -830.8524342561141, 99.32239307323471, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740434980981E9, 0.0, 2022-10-06 11:34:03.498
2.0, -2346.8003118452616, -1384.095834701322, -831.155366152525, 90.79168127430603, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740434980981E9, 0.0, 2022-10-06 11:34:03.498
3.0, -2352.0623510829173, -1381.7957962285727, -828.1484865881503, 89.18726419331506, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740434988842E9, 0.0, 2022-10-06 11:34:03.498
3.0, -2351.6285226880573, -1390.730417222716, -850.3747120248154, 76.46786444401368, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740434988842E9, 0.0, 2022-10-06 11:34:03.498
4.0, -2353.16188166989, -1395.637165964581, -843.3212607083842, 67.04331655567512, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043511241E9, 0.0, 2022-10-06 11:34:03.511
4.0, -2355.79103133874, -1393.744776587002, -832.4269321374595, 70.56256241397932, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043511241E9, 0.0, 2022-10-06 11:34:03.511
5.0, -2350.873062897008, -1388.8043687455356, -842.539621617645, 67.60056164907292, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435270553E9, 0.0, 2022-10-06 11:34:03.527
5.0, -2351.7481994866394, -1382.0762887252495, -841.5709875291213, 67.70527884783223, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435270553E9, 0.0, 2022-10-06 11:34:03.527
6.0, -2324.158957513515, -1359.588270291686, -810.2867243997753, 85.61939963558689, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435277128E9, 0.0, 2022-10-06 11:34:03.527
6.0, -2320.9650829513557, -1358.9337877994403, -821.6261010654271, 100.82209295546636, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435277128E9, 0.0, 2022-10-06 11:34:03.527
7.0, -2318.272354983259, -1357.5724642155692, -831.7126112459227, 110.93104253569618, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435414486E9, 0.0, 2022-10-06 11:34:03.541
7.0, -2326.9152637808584, -1360.2315330840647, -810.5746966963634, 92.77756815077737, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435414486E9, 0.0, 2022-10-06 11:34:03.541
8.0, -2336.4520086678676, -1365.3701556231827, -816.3640618277714, 87.44447081396356, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435569334E9, 0.0, 2022-10-06 11:34:03.556
8.0, -2343.3296846863814, -1380.5541494432837, -842.7191368155181, 87.80724110966548, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435569334E9, 0.0, 2022-10-06 11:34:03.556
9.0, -2351.6846211873926, -1387.4056461621076, -828.3766204854473, 94.18377053411677, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435575979E9, 0.0, 2022-10-06 11:34:03.557
9.0, -2352.896348773036, -1384.6642994945869, -820.3433153806254, 91.63689866429195, 0.03200000151991844, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435575979E9, 0.0, 2022-10-06 11:34:03.557
10.0, -2347.3351175389253, -1386.1266003772616, -840.1573053458706, 87.90447850851342, 0.03200000151991844, 0.5120000243186951, 0.0800000037997961, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435713508E9, 0.0, 2022-10-06 11:34:03.571
10.0, -2348.2850521276705, -1387.304668863304, -833.8293946208432, 86.27014222787693, 0.03200000151991844, 0.5120000243186951, 0.0800000037997961, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6650740435713508E9, 0.0, 2022-10-06 11:34:03.571
11.0, -2354.4596269545145, -1384.3800670979545, -828.2906027864665, 88.90677169663832, 0.03200000151991844, 0.7680000364780426, 0.0800000037997961, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043587097E9, 0.0, 2022-10-06 11:34:03.587
11.0, -2346.471200649161, -1374.375834716484, -834.6222534114495, 92.7663484509103, 0.03200000151991844, 0.7680000364780426, 0.0800000037997961, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043587097E9, 0.0, 2022-10-06 11:34:03.587
12.0, -2351.4938862896524, -1383.5572891077027, -838.7548428624868, 91.85381286172196, 0.03200000151991844, 0.7680000364780426, 0.0800000037997961, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043587582E9, 0.0, 2022-10-06 11:34:03.587
12.0, -2336.594124866184, -1383.228177911602, -821.566262666136, 79.40742580918595, 0.03200000151991844, 0.7680000364780426, 0.0800000037997961, 0.0, 0.0, 0.0, 0.0, 0.0, 1.665074043587582E9, 0.0, 2022-10-06 11:34:03.587
