%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
16.0, -20.270257759839296, -15.879615211859345, -23.602508620359004, -16.54531740397215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800282022916431E9, 0.0, 2023-03-28 12:30:02.291
16.0, 46.18776445277035, 202.81290464708582, -244.23790650628507, -183.6029085246846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800282022916431E9, 0.0, 2023-03-28 12:30:02.291
0.0, -978.2531112097204, 288.7763750785962, 218.2287722644396, 91.8014542623423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800282023514757E9, 0.0, 2023-03-28 12:30:02.351
1.0, -993.4932035291567, 272.21983797475696, 203.72170033631846, 81.74860318144783, 0.0, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800282023531969E9, 0.0, 2023-03-28 12:30:02.353
1.0, -976.5551966298372, 289.9955824641511, 217.80990346940234, 91.49478246597573, 0.0, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800282023531969E9, 0.0, 2023-03-28 12:30:02.353
2.0, -974.228978857398, 288.9895493760705, 220.62978803599253, 99.56922647031024, -0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.680028202364941E9, 0.0, 2023-03-28 12:30:02.364
2.0, -979.8276090910658, 279.4228852894157, 213.20608662394807, 91.85381286172196, -0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.680028202364941E9, 0.0, 2023-03-28 12:30:02.364
3.0, -979.0384902004153, 276.5805613230914, 218.46438596164808, 103.27920722635463, -0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.680028202365671E9, 0.0, 2023-03-28 12:30:02.365
3.0, -970.7620915984735, 285.6236394159496, 229.41107313195243, 106.14023069245741, -0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.680028202365671E9, 0.0, 2023-03-28 12:30:02.365
4.0, -980.8972204783931, 282.08195415791124, 231.50915700709447, 107.27342037903145, -0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6800282023803027E9, 0.0, 2023-03-28 12:30:02.380
